"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"20 ET 21-REVUE D HISTOIRE","2649-664X","2649-6100","PRESSES SCIENCES PO","28 Rue Saint Guillaume, PARIS, France, 75017","","History"
"AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK","0171-5410","","GUNTER NARR VERLAG","DISCHINGERWEG 5, TUBINGEN, GERMANY, D 72070","Multi-Language","Language & Linguistics | Literature"
"AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE","2166-4072","2164-9731","AB IMPERIO INC","116 GLENDALE RD, AMHERST, United States, MA, 01002","Multi-Language","History"
"ACADIENSIS","0044-5851","1712-7432","UNIV NEW BRUNSWICK","DEPT HISTORY, FREDERICTON, CANADA, NB, E3B 5A3","Multi-Language","History"
"ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE","1556-4673","1556-4711","ASSOC COMPUTING MACHINERY","1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434","English","Humanities, Multidisciplinary"
"ACROSS LANGUAGES AND CULTURES","1585-1923","1588-2519","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117","English","Language & Linguistics"
"ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION","0353-5150","1874-6349","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ","English","Philosophy"
"ACTA ARCHAEOLOGICA","0065-101X","1600-0390","BRILL","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA","English","Archaeology"
"ACTA BOREALIA","0800-3831","1503-111X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","English","Humanities, Multidisciplinary"
"ACTA CLASSICA","0065-1141","2227-538X","UNIV FREE STATE, DEPT ENG CLASSICAL LANG","PO BOX 339, BLOEMFONTEIN, SOUTH AFRICA, 9300","English","Classics"
"ACTA HISTORICA TALLINNENSIA","1406-2925","1736-7476","ESTONIAN ACAD PUBLISHERS","6 KOHTU, TALLINN, Estonia, 10130","Estonian","History"
"ACTA HISTRIAE","1318-0185","2591-1767","HISTORICAL SOC SOUTHERN PRIMORSKA KOPER-HSSP","GARIBALDIJEVA 18, KOPER, SLOVENIA, 6000","Slovenian, Croatian, English, Italian","History"
"ACTA KOREANA","1520-7412","","KEIMYUNG UNIV","1095 DALGUBEOLDAERO, DALSEO-GU, DAEGU, South Korea, 42601","English","Asian Studies"
"ACTA LINGUISTICA ACADEMICA","2559-8201","2560-1016","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117","English","Language & Linguistics"
"ACTA LITERARIA","0717-6848","0717-6848","UNIV CONCEPCION, FAC HUMANIDADES ARTE","CASILLA 160-C, CORREO 3, CONCEPCION, CHILE, 00000","Spanish","Literature, Romance"
"ACTA MUSICOLOGICA","0001-6241","","INT MUSICOLOGICAL SOC","BOX 561, BASEL, SWITZERLAND, CH-4001","Multi-Language","Music"
"ACTA ORIENTALIA ACADEMIAE SCIENTIARUM HUNGARICAE","1588-2667","0001-6446","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117","English","History | Asian Studies"
"ACTA PHILOSOPHICA","1121-2179","1825-6562","FABRIZIO SERRA EDITORE","VIA SANTA BIBBIANA 28, PISA, Italy, I-56127","Multi-Language","Philosophy"
"ACTA POLONIAE HISTORICA","0001-6829","0001-6829","INST HISTORY- PAN","RYNEK STAREGO MIASTA 29-31, WARSAW, POLAND, 00272","Multi-Language","History"
"ACTA THEOLOGICA","1015-8758","2309-9089","UNIV FREE STATE, FAC THEOLOGY","PUBLICATIONS OFFICE, UFS-SASOL LIBRARY, PO BOX 301, BLOEMFONTEIN, SOUTH AFRICA, 9300","English","Religion"
"ADALYA","1301-2746","","KOC UNIV SUNA & INAN KIRAC RES CTR MEDITERRANEAN CIVILIZATIONS-AKMED","BARBAROS MAH KOCATEPE SK NO 22, KALEICI, TURKEY, ANTALYA, 07100","Turkish","Archaeology"
"ADAPTATION-THE JOURNAL OF LITERATURE ON SCREEN STUDIES","1755-0637","1755-0645","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","English","Film, Radio, Television | Literature"
"ADVANCES IN ARCHAEOLOGICAL PRACTICE","2326-3768","2326-3768","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","English","Archaeology"
"AEVUM-RASSEGNA DI SCIENZE STORICHE LINGUISTICHE E FILOLOGICHE","0001-9593","1827-787X","VITA PENSIERO","PUBBLICAZIONI DELL UNIV CATTOLICA DEL SACRO CUORE, LARGO A GEMELLI 1, MILAN, ITALY, 20123","Italian","Humanities, Multidisciplinary"
"AFRICANA LINGUISTICA","2033-8732","2034-8436","PEETERS","BONDGENOTENLAAN 153, LEUVEN, BELGIUM, B-3000","English","Language & Linguistics"
"AFRICAN AMERICAN REVIEW","1062-4783","1945-6182","AFRICAN AMER REVIEW","DEPT ENGLISH, INDIANA STATE UNIV, TERRE HAUTE, USA, IN, 47809","English","Literature, American"
"AFRICAN ARCHAEOLOGICAL REVIEW","0263-0338","1572-9842","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","English","Archaeology"
