Title,Title20,Country/Region,SCIE,SSCI,AHCI,ESCI
NINETEENTH-CENTURY CONTEXTS-AN INTERDISCIPLINARY JOURNAL,19 CENTURY CONTEXTS,ENGLAND,,,X,
2D MATERIALS,2D MATER,ENGLAND,X,,,
3 BIOTECH,3 BIOTECH,GERMANY,X,,,
3C EMPRESA,3C EMPRESA,SPAIN,,,,X
3C TECNOLOGIA,3C TECNOL,SPAIN,,,,X
3C TIC,3C TIC,SPAIN,,,,X
3D PRINTING AND ADDITIVE MANUFACTURING,3D PRINT ADDIT MANUF,UNITED STATES,X,,,
3D PRINTING IN MEDICINE,3D PRINT MED,ENGLAND,,,,X
3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES,3L-LANG LINGUIST LIT,MALAYSIA,,,,X
452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA,452 F-REV TEOR LIT L,SPAIN,,,,X
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,4OR-Q J OPER RES,GERMANY,X,,,
A & A PRACTICE,A A PRACT,UNITED STATES,,,,X
A&C-REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL,A C-REV DIREITO ADM,BRAZIL,,,,X
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,AAA-ARB ANGLIST AM,GERMANY,,,X,
AACN ADVANCED CRITICAL CARE,AACN ADV CRIT CARE,UNITED STATES,,,,X
AAPG BULLETIN,AAPG BULL,UNITED STATES,X,,,
AAPS JOURNAL,AAPS J,UNITED STATES,X,,,
AAPS PHARMSCITECH,AAPS PHARMSCITECH,UNITED STATES,X,,,
AATCC JOURNAL OF RESEARCH,AATCC J RES,UNITED STATES,X,,,
AATCC REVIEW,AATCC REV,UNITED STATES,X,,,
AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE,AB IMP,UNITED STATES,,,X,
ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,ABACUS,AUSTRALIA,,X,,
ABAKOS,ABAKOS,BRAZIL,,,,X
ABANICO VETERINARIO,ABANICO VET,MEXICO,,,,X
ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY,ABCD-ARQ BRAS CIR DI,BRAZIL,,,,X
ABDOMINAL RADIOLOGY,ABDOM RADIOL,UNITED STATES,X,,,
ABE JOURNAL,ABE J,FRANCE,,,,X
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,GERMANY,X,,,
ABORIGINAL HISTORY,ABORIG HIST,AUSTRALIA,,,,X
ABORIGINAL POLICY STUDIES,ABORIG POLICY STUD,CANADA,,,,X
ABRIU-ESTUDOS DE TEXTUALIDADE DO BRASIL GALICIA E PORTUGAL,ABRIU-ESTUD TEXTUAL,SPAIN,,,,X
ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,UNITED STATES,X,,,
ACADEMIC JOURNAL OF MODERN PHILOLOGY,ACAD J MOD PHILOL,POLAND,,,,X
ACADEMY OF MANAGEMENT ANNALS,ACAD MANAG ANN,UNITED STATES,,X,,
ACADEMY OF MANAGEMENT DISCOVERIES,ACAD MANAG DISCOV,UNITED STATES,,X,,
ACADEMY OF MANAGEMENT LEARNING & EDUCATION,ACAD MANAG LEARN EDU,UNITED STATES,,X,,
ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,UNITED STATES,,X,,
ACADEMY OF MANAGEMENT PERSPECTIVES,ACAD MANAGE PERSPECT,UNITED STATES,,X,,
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,UNITED STATES,,X,,
ACADEMIC MEDICINE,ACAD MED,UNITED STATES,X,,,
ACADEMIC PATHOLOGY,ACAD PATHOL,UNITED STATES,,,,X
ACADEMIC PEDIATRICS,ACAD PEDIATR,UNITED STATES,X,,,
ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,UNITED STATES,,X,,
ACADEMIC RADIOLOGY,ACAD RADIOL,UNITED STATES,X,,,
ACADEMIA Y VIRTUALIDAD,ACAD VIRTUALIDAD,COLOMBIA,,,,X
ACADIENSIS,ACADIENSIS,CANADA,,,X,
ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,ACAD-REV LATINOAM AD,COLOMBIA,,X,,
ACAROLOGIA,ACAROLOGIA,FRANCE,X,,,
ACCESS TO JUSTICE IN EASTERN EUROPE,ACCESS JUSTICE E EUR,UKRAINE,,,,X
ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,ENGLAND,,X,,
ACCION PSICOLOGICA,ACCION PSICOL,SPAIN,,,,X
ACCIONES E INVESTIGACIONES SOCIALES,ACCIONES INVEST SOC,SPAIN,,,,X
ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL,ACCOUNT AUDIT ACCOUN,ENGLAND,,X,,
ACCOUNTING AND BUSINESS RESEARCH,ACCOUNT BUS RES,ENGLAND,,X,,
ACCOUNTING ECONOMICS AND LAW-A CONVIVIUM,ACCOUNT ECON LAW,GERMANY,,,,X
ACCOUNTING EDUCATION,ACCOUNT EDUC,ENGLAND,,,,X
ACCOUNTING IN EUROPE,ACCOUNT EUR,ENGLAND,,,,X
ACCOUNTING AND FINANCE,ACCOUNT FINANC,AUSTRALIA,,X,,
ACCOUNTING FORUM,ACCOUNT FORUM,ENGLAND,,X,,
ACCOUNTING HISTORY,ACCOUNT HIST,UNITED STATES,,,,X
ACCOUNTING HISTORIANS JOURNAL,ACCOUNT HIST J,UNITED STATES,,,,X
ACCOUNTING HISTORY REVIEW,ACCOUNT HIST REV,UNITED STATES,,,,X
ACCOUNTING HORIZONS,ACCOUNT HORIZ,UNITED STATES,,X,,
ACCOUNTING ORGANIZATIONS AND SOCIETY,ACCOUNT ORG SOC,ENGLAND,,X,,
ACCOUNTING PERSPECTIVES,ACCOUNT PERSPECT,UNITED STATES,,,,X
ACCOUNTABILITY IN RESEARCH-POLICIES AND QUALITY ASSURANCE,ACCOUNT RES,UNITED STATES,X,,,
ACCOUNTING RESEARCH JOURNAL,ACCOUNT RES J,ENGLAND,,,,X
ACCOUNTING REVIEW,ACCOUNT REV,UNITED STATES,,X,,
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,UNITED STATES,X,,,
ACCOUNTS OF MATERIALS RESEARCH,ACCOUNTS MATER RES,UNITED STATES,,,,X
ACCREDITATION AND QUALITY ASSURANCE,ACCREDIT QUAL ASSUR,GERMANY,X,,,
ACE-ARCHITECTURE CITY AND ENVIRONMENT,ACE-ARCHIT CITY ENVI,SPAIN,,,,X
ACG CASE REPORTS JOURNAL,ACG CASE REP J,UNITED STATES,,,,X
ACI MATERIALS JOURNAL,ACI MATER J,UNITED STATES,X,,,
ACI STRUCTURAL JOURNAL,ACI STRUCT J,UNITED STATES,X,,,
ACM COMMUNICATIONS IN COMPUTER ALGEBRA,ACM COMMUN COMPUT AL,UNITED STATES,,,,X
ACM COMPUTING SURVEYS,ACM COMPUT SURV,UNITED STATES,X,,,
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,ACM J COMPUT CULT HE,UNITED STATES,X,,X,
ACM JOURNAL OF DATA AND INFORMATION QUALITY,ACM J DATA INF QUAL,UNITED STATES,,,,X
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,ACM J EMERG TECH COM,UNITED STATES,X,,,
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,ACM SIGCOMM COMP COM,UNITED STATES,X,,,
ACM SIGECOM EXCHANGES,ACM SIGECOM EXCH,UNITED STATES,,,,X
ACM TRANSACTIONS ON ACCESSIBLE COMPUTING,ACM T ACCESS COMPUT,UNITED STATES,,,,X
ACM TRANSACTIONS ON ALGORITHMS,ACM T ALGORITHMS,UNITED STATES,X,,,
ACM TRANSACTIONS ON APPLIED PERCEPTION,ACM T APPL PERCEPT,UNITED STATES,X,,,
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,ACM T ARCHIT CODE OP,UNITED STATES,X,,,
ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,ACM T ASIAN LOW-RESO,UNITED STATES,X,,,
ACM TRANSACTIONS ON COMPUTING EDUCATION,ACM T COMPUT EDUC,UNITED STATES,X,,,
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,ACM T COMPUT LOG,UNITED STATES,X,,,
